transaction_id,transaction_date,city,neighborhood,property_type,rooms,floor,total_floors,year_built,surface_sqm,lat,lng,is_furnished,amenities_count,amenities_list,sale_price_eur,is_verified,data_source
MD-00000001,2025-03-23,Chișinău,Râșcani,APARTMENT,2,4,11,2025,57.1,47.019862,28.881022,True,3,balcony|elevator|furnished,189200,True,real
MD-00000002,2025-02-09,Chișinău,Telecentru,APARTMENT,1,3,7,2001,32.1,47.003437,28.795531,False,2,balcony|elevator,45000,True,real
MD-00000003,2025-06-12,Chișinău,Trușeni,HOUSE,5,1,2,1991,185.8,47.0453,28.724141,False,2,garage|storage_room,261000,True,real
MD-00000004,2026-04-02,Chișinău,Codru,APARTMENT,4,5,5,1968,132.7,46.967567,28.803296,False,1,balcony,170000,True,real
MD-00000005,2025-10-31,Chișinău,Botanica,APARTMENT,2,7,9,1990,60.0,46.97406,28.875659,False,2,balcony|elevator,80000,True,real
MD-00000006,2025-07-23,Chișinău,Stăuceni,APARTMENT,1,5,5,1992,44.8,47.065169,28.845662,False,0,,43500,True,real
MD-00000007,2024-02-24,Chișinău,Codru,APARTMENT,2,7,12,2014,51.9,46.965257,28.814487,True,3,balcony|elevator|furnished,111000,True,real
MD-00000008,2024-10-27,Chișinău,Botanica,HOUSE,3,1,1,1987,199.1,46.967495,28.936654,False,2,garden|terrace,370000,True,real
MD-00000009,2025-03-24,Cahul,,APARTMENT,2,2,5,1986,61.9,45.888508,28.201083,True,4,balcony|elevator|furnished|storage_room,65000,True,real
MD-00000010,2026-03-29,Chișinău,Centru,APARTMENT,3,1,9,2014,76.1,47.003809,28.826524,False,3,balcony|elevator|parking,245500,True,real
MD-00000011,2024-08-25,Orhei,,APARTMENT,1,1,9,1976,38.2,47.367937,28.814703,True,3,balcony|elevator|furnished,30000,True,real
MD-00000012,2026-01-02,Glodeni,,HOUSE,4,1,1,1997,170.8,47.769926,27.514921,False,6,fireplace|garage|garden|parking|pool|terrace,145000,True,real
MD-00000013,2025-07-22,Chișinău,Buiucani,APARTMENT,1,3,9,1977,36.4,47.063953,28.801015,False,2,elevator|storage_room,38000,True,real
MD-00000014,2025-03-01,Chișinău,Bogdan Voievod,APARTMENT,2,6,14,2014,55.8,47.047958,28.806459,True,3,balcony|fireplace|furnished,115000,True,real
MD-00000015,2026-05-13,Chișinău,Botanica Veche,APARTMENT,2,8,9,1999,71.8,46.942015,28.851237,True,2,balcony|furnished,79500,True,real
MD-00000016,2024-07-04,Chișinău,Râșcani,HOUSE,4,1,3,1969,208.8,47.03966,28.846358,False,3,garden|storage_room|terrace,364000,True,real
MD-00000017,2025-12-28,Chișinău,Sculeni,APARTMENT,4,5,12,2013,115.4,47.060286,28.766638,True,4,balcony|elevator|furnished|storage_room,330000,True,real
MD-00000018,2026-01-15,Chișinău,Telecentru,APARTMENT,2,8,9,1977,66.4,46.98627,28.820905,True,3,balcony|elevator|furnished,84000,True,real
MD-00000019,2026-03-03,Chișinău,Râșcani,APARTMENT,2,9,9,1982,60.9,47.056621,28.851695,False,2,balcony|elevator,75000,True,real
MD-00000020,2025-05-11,Chișinău,Telecentru,HOUSE,5,1,1,1968,193.8,46.99998,28.82625,False,3,garage|garden|storage_room,275000,True,real
MD-00000021,2024-08-11,Chișinău,Aeroport,APARTMENT,3,7,9,1980,78.2,46.942156,28.874509,True,4,balcony|elevator|furnished|storage_room,94000,True,real
MD-00000022,2025-10-29,Strășeni,,APARTMENT,3,3,9,1982,89.3,47.146148,28.629567,False,3,balcony|elevator|storage_room,70000,True,real
MD-00000023,2024-10-02,Chișinău,Centru,HOUSE,4,1,3,1978,225.0,47.021933,28.854311,False,4,garage|garden|parking|terrace,550000,True,real
MD-00000024,2026-01-23,Chișinău,Telecentru,HOUSE,4,1,3,1983,209.6,47.002738,28.803751,False,2,garage|garden,425000,True,real
MD-00000025,2025-03-17,Chișinău,Telecentru,APARTMENT,2,3,5,1959,67.6,46.998615,28.792836,True,3,balcony|furnished|storage_room,78500,True,real
MD-00000026,2024-04-04,Comrat,,HOUSE,6,1,3,1978,91.1,46.294393,28.64811,False,2,fireplace|garden,54000,True,real
MD-00000027,2026-04-23,Chișinău,Râșcani,APARTMENT,3,9,9,1982,89.4,47.033676,28.826761,False,3,balcony|elevator|storage_room,146000,True,real
MD-00000028,2025-02-14,Chișinău,Botanica,APARTMENT,3,3,9,1984,89.5,47.00126,28.864256,False,2,balcony|elevator,130000,True,real
MD-00000029,2024-12-21,Bălți,,APARTMENT,2,6,9,2012,48.8,47.780716,27.93684,False,3,balcony|elevator|parking,54000,True,real
MD-00000030,2026-02-27,Chișinău,Ciocana,APARTMENT,3,6,9,1983,96.7,46.980105,28.889401,False,2,balcony|elevator,124000,True,real
MD-00000031,2026-05-02,Bălți,,APARTMENT,2,1,5,1982,69.3,47.767398,27.9081,False,1,balcony,55000,True,real
MD-00000032,2024-05-29,Chișinău,Cricova,APARTMENT,3,10,15,2014,74.1,47.127934,28.85512,False,2,balcony|elevator,120000,True,real
MD-00000033,2025-04-01,Chișinău,Durlești,APARTMENT,1,5,5,1960,40.4,47.028852,28.771291,True,4,balcony|furnished|parking|storage_room,26100,True,real
MD-00000034,2025-12-06,Chișinău,Telecentru,APARTMENT,3,9,14,2026,67.4,47.002804,28.800079,False,4,balcony|elevator|parking|storage_room,140000,True,real
MD-00000035,2025-07-27,Chișinău,Buiucani,APARTMENT,3,6,9,1973,95.6,47.060056,28.811565,False,1,balcony,112000,True,real
MD-00000036,2025-11-05,Cimișlia,,APARTMENT,2,1,7,2003,67.2,46.523623,28.789276,False,2,balcony|elevator,50000,True,real
MD-00000037,2026-02-10,Chișinău,Buiucani,APARTMENT,4,2,2,1945,98.5,47.04719,28.811391,True,3,balcony|furnished|storage_room,128500,True,real
MD-00000038,2025-12-10,Chișinău,Botanica,HOUSE,4,1,2,1994,176.4,46.968273,28.875926,True,3,furnished|garden|storage_room,344000,True,real
MD-00000039,2026-01-30,Chișinău,Telecentru,HOUSE,4,1,3,1997,110.9,47.002348,28.805798,True,3,furnished|garden|storage_room,265000,True,real
MD-00000040,2025-01-14,Chișinău,Codru,APARTMENT,1,2,9,1971,33.0,46.972689,28.811951,False,2,balcony|elevator,35000,True,real
MD-00000041,2025-09-16,Chișinău,Telecentru,APARTMENT,2,5,5,1959,64.9,46.989915,28.812094,True,2,balcony|furnished,87000,True,real
MD-00000042,2025-09-29,Bălți,,HOUSE,4,1,1,2001,114.9,47.732525,27.970987,True,4,furnished|garden|parking|storage_room,140000,True,real
MD-00000043,2026-03-25,Chișinău,Râșcani,APARTMENT,1,3,5,1994,34.4,47.039849,28.877644,False,2,balcony|storage_room,53000,True,real
MD-00000044,2024-10-11,Chișinău,Centru,APARTMENT,2,4,9,1988,61.0,47.01032,28.831262,False,2,balcony|elevator,91000,True,real
MD-00000045,2024-08-24,Chișinău,Râșcani,HOUSE,5,1,1,2013,129.7,47.042965,28.82108,True,4,furnished|garden|storage_room|terrace,280000,True,real
MD-00000046,2026-05-21,Anenii Noi,,APARTMENT,3,8,10,1990,93.0,46.880609,29.212862,False,3,balcony|elevator|storage_room,80000,True,real
MD-00000047,2024-12-10,Leova,,APARTMENT,3,2,9,1997,80.0,46.477558,28.264532,True,4,balcony|elevator|furnished|parking,38600,True,real
MD-00000048,2024-09-07,Chișinău,Buiucani-Nord,APARTMENT,4,1,5,1961,113.2,47.060661,28.857136,True,3,balcony|elevator|furnished,121500,True,real
MD-00000049,2025-03-31,Chișinău,Râșcani,APARTMENT,4,2,9,1978,137.2,47.033363,28.881811,False,3,balcony|elevator|storage_room,240000,True,real
MD-00000050,2025-09-12,Chișinău,Mălina Mică,HOUSE,4,1,2,1998,251.8,46.990254,28.823879,False,2,garage|garden,590000,True,real
MD-00000051,2026-01-17,Ungheni,,HOUSE,3,1,1,1978,220.9,47.209865,27.797586,False,0,,126000,True,real
MD-00000052,2026-04-23,Chișinău,Durlești,APARTMENT,2,1,9,1981,70.1,47.030228,28.765052,False,2,balcony|elevator,55000,True,real
MD-00000053,2026-02-06,Chișinău,Buiucani-Nord,APARTMENT,2,2,5,1960,59.8,47.042456,28.859149,False,1,balcony,70000,True,real
MD-00000054,2025-01-26,Chișinău,Ciocana Nouă,APARTMENT,1,6,10,2011,49.1,47.04013,28.889724,False,3,elevator|parking|storage_room,115000,True,real
MD-00000055,2025-09-20,Chișinău,Botanica,APARTMENT,4,1,13,2011,120.2,46.967993,28.871912,True,5,balcony|elevator|furnished|parking|storage_room,260000,True,real
MD-00000056,2026-04-23,Chișinău,Buiucani,APARTMENT,3,6,9,1977,85.1,47.055132,28.812502,False,2,balcony|elevator,95000,True,real
MD-00000057,2024-10-22,Chișinău,Sîngera,APARTMENT,3,8,9,1972,69.2,46.92531,28.950522,False,2,balcony|elevator,41000,True,real
MD-00000058,2025-02-17,Chișinău,Râșcani,APARTMENT,3,1,2,1953,88.0,47.043425,28.849936,True,2,furnished|storage_room,110000,True,real
MD-00000059,2026-05-30,Chișinău,Buiucani,APARTMENT,4,5,5,1970,126.9,47.04194,28.783974,False,3,balcony|parking|storage_room,180000,True,real
MD-00000060,2025-08-16,Chișinău,Râșcani,APARTMENT,3,8,9,1992,77.6,47.052225,28.809243,False,2,balcony|elevator,85000,True,real
MD-00000061,2025-04-22,Chișinău,Telecentru,APARTMENT,4,3,5,1995,92.2,46.990031,28.802108,True,2,balcony|furnished,110000,True,real
MD-00000062,2025-08-04,Cahul,,APARTMENT,2,3,5,1966,46.9,45.905516,28.192863,False,2,balcony|storage_room,40000,True,real
